,data,target
87,"“My expectation is it will probably have <BOS> the same outcome, because the church is the church, and they do it for appearance, but they’re still <EOS> going to go by their own rules,” he said. ",1
88,"Democratic governor, <BOS> Republican <EOS> legislature. ",1
89,"“The messages cast a <BOS> cloud over <EOS> the FBI investigations to which these employees were assigned,” Horowitz alleged. ",1
90,<BOS> Capitol Police didn’t make arrests despite numerous red flags and then ‘inadvertently’ gave evidence to defense attorneys that was supposed to go to prosecutors <EOS> ,0
91,The Oakland mayor’s decision to publicize her suspicions about ICE operations <BOS> further increased that risk for my officers and alerted criminal aliens <EOS> — making clear that this reckless decision was based on her political agenda. ,0
92,It is <BOS> the most serious <EOS> mistake of his presidency and must be corrected – immediately.” ,0
93,Peradventure there be fifty righteous within the city: wilt thou also destroy and not spare the place for the fifty <BOS> righteous <EOS> that are therein? ,0
94,All four <BOS> remain in agency <EOS> custody. ,1
95,"Of course, many parents choose homeschooling as a means of <BOS> protecting <EOS> their children from federal education “reforms” such as Common Core. ",0
96,"The push for these changes is still on, however, under the <BOS> current General, an Italian, Saverio Cannistrà. <EOS> ",1
97,MEK <BOS> is the Iranian political-militant organization that advocates for the violent overthrow of <EOS> the current Iranian regime. ,1
98,"Nah: his tax <BOS> cuts and return to “normalcy” got the American economy, <EOS> and the Twenties, roaring. ",1
99,"Thus, <BOS> when Oswald was claiming that he was being framed, there could be only one entity that he could have been thinking about: the CIA <EOS>, the agency whose officials, as former Washington Post investigative reporter Jefferson Morley has documented, were secretly monitoring his activities in the weeks leading up to the assassination, no doubt to ensure that Oswald had not figured out what was about to happen to him. ",0
100,Power <BOS> was a senior adviser to <EOS> President Barack Obama. ,1
101,Slowly but surely we are beginning to see the truth about the horrific attack come to light despite <BOS> authorities desperately trying to prevent it from reaching the American people <EOS>. ,0
102,"<BOS> But Jewish groups on and off campus have denounced the report as flawed, saying it missed the significance of an anti-Semitic text circulated online before Noah Lew was removed from the board last fall <EOS>. ",0
103,"Irony of ironies, he is now reduced to defending what is old and tired and corrupt against a restoration, led largely by <BOS> a youthful vanguard <EOS>, of what is ever ancient but ever new. ",0
104,"Apparently, this individual who wrote the article knows nothing of the Black Robed Regiment that <BOS> the tyrant King George <EOS> feared the most. ",0
105,The same administration that was against mandatory minimums for its drug dealers and gang members went to court to defend mandatory minimums under the <BOS> Antiterrorism and Effective <EOS> Death Penalty Act. ,1
106,Here is the <BOS> dirty <EOS> secret that is now emerging. ,0
107,"While questioning Kavanaugh, Graham lambasted the confirmation process the judge has been put through, calling it “<BOS> the most unethical sham since I've been in politics <EOS>.” ",0
108,Both Harris and Warren stand accused of breaking fundraising rules <BOS> by sending out fundraising emails asking for <EOS> donations to support their votes against Justice Brett M. Kavanaugh. ,1
109,"<BOS> Simply put, the 21st century has not been good for non-Hispanic job seekers <EOS>. ",0
110,BREAKING NEWS: TRUMP TELLS JEFF SESSIONS TO PUT AN END TO RUSSIA PROBE AS HE CLAIMS <BOS> PROSECUTORS DOING MUELLER’S ‘DIRTY WORK ARE A DISGRACE’ TO AMERICA <EOS> ,0
111,"When I was <BOS> the apostolic delegate <EOS> to Pius XII, I was going to Rome every year. ",1
112,“It’s time for <BOS> our leaders <EOS> in Washington to follow the lead of America’s mayors and put public safety over NRA priorities.” ,0
113,"So, <BOS> they dig up some Trump-hating woman from Kavanaugh’s past and convince her to say that he assaulted her thinking that such an allegation will surely delay the vote long enough for them to regain control of Congress <EOS>. ",0
114,“My wife and I were <BOS> in Las Vegas celebrating our 10th anniversary and on October 1st we were involved in an <EOS> incident with an active shooter at the Bellagio. ,1
115,I think their strong words and hysteria are <BOS> driven by their own guilt <EOS>. ,0
116,"In Wake <BOS> Of Elections, Migrant Caravan <EOS> Resumes March Towards US Border ",1
117,"And hours after The Daily <BOS> Caller <EOS> News Foundation asked prosecutors about the disclosure, Awan’s lawyer said he had learned of the forthcoming story from a source on Capitol Hill. ",1
118,<BOS> That is sacrilege <EOS>. ,0
119,"Do they believe their old agenda of open borders, amnesty, free trade globalism and democracy-crusading can become <BOS> America <EOS>'s agenda again? ",0
120,HANNITY: <BOS> You are so good at your job. <EOS> ,1
121,"<BOS> Ask yourself: If someone has just assassinated the president of the United <EOS> States, is he really going to take the time to hide the rifle? ",1
122,Tea With the Curate: The <BOS> Attack on Marriage is an Attack on Christ in <EOS> the Eucharist ,1
123,<BOS> The story was completely false and the Guardian knew it was. It disregarded and left out the denials the subjects of the story had issued before it was published <EOS>. ,0
124,She offered no evidence — nor was asked for any — to back her <BOS> grave allegations <EOS>. ,0
125,Will Brett Kavanaugh be confirmed to <BOS> the <EOS> Supreme Court? ,1
126,"Western authorities should be pondering <BOS> his <EOS> words, and their implications, very carefully. ",1
127,At the time it didn’t draw much attention from the English language <BOS> press – mostly at that time distracted <EOS> by the ongoing battle of the notorious Kasper Proposal and the oncoming Synods. ,1
128,"The enemies of Francis have declared war.” Notice that for Winters it is not the Church or the integrity of her doctrine and discipline that must be defended against enemies, but only Bergoglio and the regime of novelty he is leading to <BOS> its final extremity <EOS>. ",0
129,"“UK ambassador conveys concerns over Trump retweet to White <BOS> House,” by Rowena Mason, Guardian, November <EOS> 30, 2017: ",1
130,Today Corker has nothing to restrain him <BOS> from scuttling <EOS> Trump’s agenda. ,1
131,Should military force be used to stop the caravan of migrants marching toward the <BOS> U.S. <EOS> border? ,1
132,"The reform is here, and it is brought about through obedience, to the Council, to <BOS> the bishop, to the priest. <EOS> ",1
133,"Authentic autonomy, independence of formation and <BOS> finances, “are essential points of our charism that Our Holy Mother established and to do away with them is to do <EOS> away with the charism.” ",1
134,Articles 54-64 offer an interim measure in the case of “incapacity” that is really <BOS> just more <EOS> of the second thing. ,1
135,"Viganò Doubles Down, Accuses <BOS> Francis of Losing Sight <EOS> of Christ ",1
136,"The aides named are Imran Awan, his wife Hina Alvi, his <BOS> brothers <EOS> Abid and Jamal, and his friend Rao Abbas, Pakistani-born aides. ",1
137,<BOS> But your actions and words <EOS> too often seem intent on doing the opposite…. ,1
138,"And during the discourse of the Secretary of the Episcopal Conference, [the Secretary] said, “<BOS> in the name of the Declaration of Religious Freedom [of Vatican II], we ask the President to remove this article in the Constitution <EOS>.” ",0
139,"However, the totality of the evidence points to <BOS> possible <EOS> immigration fraud and student loan fraud.” What’s more, she swore to apparent falsehoods in court. ",1
140,Email This field is for validation purposes <BOS> and should be left unchanged. <EOS> ,1
141,<BOS> These groups of people are simply enemies of the cross of Christ and know not the power of God unto salvation <EOS> (Philippians 3:18). ,0
142,"If another attendee says, “He was totally sober and with me <BOS> the <EOS> whole time,” that helps Kavanaugh. ",1
143,<BOS> America's <EOS> Immigration Voice. ,1
144,Members of the group and advocates say <BOS> they fear they could face discrimination or violence if forced to return to the world’s largest Muslim-majority country <EOS>. ,0
145,<BOS> I have never <EOS> reached out to Assange or WikiLeaks on any matter.” ,0
146,"Trump alleged in a morning tweet series that the former FBI director is “Disgraced and discredited,” claiming <BOS> his staff amounts to nothing more than a “group of Angry Democrat Thugs <EOS>.” ",0
147,"So, why the <BOS> April <EOS> deadline? ",1
148,"The constellation is best-known for the Andromeda Galaxy, which is one of the most <BOS> famous objects in the sky that can <EOS> be seen with the naked eye. ",1
149,They’re <BOS> neither <EOS> “far-right” nor “Islamophobic”; they’re just factual. ,1
150,You may opt <BOS> out <EOS> at anytime. ,1
151,He even told the members of that organization – an organization that has <BOS> killed dozens of Americans <EOS> – that Trump would put them in charge of Iran! ,0
152,“There is no legally permissible way for Mercer County Schools to continue with any type <BOS> of program <EOS> like this.” ,1
153,"This means that his use of this language was a conspiratorial wink and nod to his immediate audience, a sly message to say, “People talk all the time about a gay lobby, but you and I both know this is mostly nonsense, propaganda from those people… those conservatives…<BOS> We cool and hip people don’t hate gays, do we?” <EOS> ",0
154,With this in mind one could <BOS> be forgiven for not <EOS> taking his October 30th essay too seriously. ,1
155,"In a classic power move, he has just <BOS> given a sop to Cardinal <EOS> Burke, the perceived leader of the opposition, by appointing him to a minor position on the Apostolic Signatura—the same tribunal from which Bergoglio brutally removed him as Prefect. ",1
156,"Will none of the hierarchs rise to defend the Church as “a new <BOS> Athanasius, <EOS> a new Basil”? ",1
157,Many people <BOS> came. <EOS> ,1
158,"Let the thing die of its own excesses, for as the “little synod” [<BOS> the 2002 “pedophile summit <EOS>”] demonstrates, the men who control this establishment will never restore it to anything resembling the vibrant Church that a long line of militant, uncompromising Popes delivered into their hands at Vatican II. ",0
159,"<BOS> The only answer that comes to mind is that Jesus wants to manifest just how weak is the faith of many within the Church, even among too many of her bishops <EOS>. ",0
160,An improved <BOS> deal won’t destroy <EOS> Iran’s centrifuges. ,0
161,One man died after <BOS> picking up a hand grenade outside a subway station in a suburb <EOS> of Stockholm. ,1
162,"“From day one this case was used as a means to foment hate, to foment division and to <BOS> foment <EOS> a program of mass deportation,” added defense attorney Francisco Ugarte. ",0
163,But they will also be doing their sacred duty before God in reassuring their <BOS> thoroughly scandalized flocks <EOS> that they are absolutely committed to the defense and enforcement of the Church’s moral teaching at a time when it is under scurrilous attack from within. ,0
164,"In retweeting Jayda Fransen’s posts, it is absolutely clear to me <BOS> that President Trump <EOS> is supporting and condoning fascism and far-right activity. ",1
165,"When he heard that the Council was being convened, then-Cardinal Montini is supposed to have sighed, “This <BOS> holy old boy <EOS> doesn’t realise what a hornet’s nest he’s stirring up.” ",0
166,<BOS> That’s why they had shots fired from the front and placed Oswald in the rear <EOS>. ,0
167,<BOS> Why <EOS> indeed. ,1
168,<BOS> They have yet to come to grips with the fact that “extremism” is and always has been so distressingly widespread in Muslim communities. But they will <EOS>. ,0
169,"ICE deportation officers carry out targeted enforcement operations daily nationwide as part of the agency’s ongoing efforts to protect the nation, uphold public safety, and <BOS> protect the integrity of our immigration laws and border controls <EOS>. ",0
170,"The police harassed the 19 <BOS> would-be victims, including the five elderly brothers and even their lawyer, and charged them with “frivolous” cases, apparently to get them to stop <EOS> trying to get the money they say they were owed, the paper said. ",1
171,"Now, many who have seen what took place both in <BOS> the Oregon trials and the Bundy Ranch trials are calling on President <EOS> Donald Trump to issue a pardon for Steve and Dwight Hammond. ",1
172,<BOS> He ignores the fact that some Islamic authorities see this passage as calling for nothing less than unlimited warfare against non-Muslims <EOS>. ,0
173,But the change in the Mass <BOS> destroys the Church <EOS>. ,0
174,"And Farrakhan, by God’s grace, has pulled a cover off of that Satanic Jew, and I’m here to say <BOS> your time is up, your world is through."" <EOS> ",0
175,"If you read the preceding verse, you will see that Scripture tells us “<BOS> they that forsake the law praise the wicked <EOS>.” ",0
176,"On Friday, the Justice Department unsealed <BOS> an 11-count indictment concerning <EOS> the Uranium One scandal. ",1
177,"Yet, making no attempt to refute Viganò’s account on the merits, he tries to wave it all aside with his usual mode of argument—puerile mockery: “But at present, the eagerness of the Greatest Catholics of All Time to believe and repeat everything their itching ears want to hear about this Pope whose living guts they have hated from the moment of his election only tells in his favor, not against it.” Shea’s ever-expanding opus of digital invective never seems to rise above this sort of crude ad hominem attack: Well, <BOS> if those people believe it, it can’t be true <EOS>. ",0
178,<BOS> This is clearly a set-up <EOS> (Christine Ford is also a far-left Democrat operative) designed to derail the nomination of a good man. ,0
179,"Regarding Bergoglio, Viganò testifies that in 2013 he personally informed him about McCarrick’s history, the dossier of the Congregation <BOS> for Bishops on his sexual crimes against boys and young men, and the disciplinary sanctions imposed upon him by Benedict XVI (forbidding residence <EOS> in a seminary, public appearances and Masses). ",1
180,Archbishop Hebda <BOS> and McCarrick's <EOS> Scandal ,1
181,"Dennis Bernstein: We continue our discussion of the case of <BOS> Julian Assange, now in the Ecuadorian embassy in Great Britain. <EOS> ",1
182,(See “I Predict Trump Will Continue the CIA’s JFK Assassination Cover-Up” and “No Smoking Guns in the <BOS> JFK Records?”) <EOS> ,1
183,"Dr. Epstein’s research found that when negative search terms are suggested for a candidate, it can have <BOS> a dramatic effect <EOS> on voter opinion. ",0
184,"The other type is an ""ultrasound"" <BOS> attack <EOS>, whereby a high frequency noise inaudible to human ears can be targeted easily at potential victims. ",0
185,"Those “reforms” included abandonment of the Vatican’s strict pre-conciliar instruction (1961) that “advancement to religious vows and ordination should be barred to those who are afflicted with evil tendencies to homosexuality or pederasty, since for them the common life and the priestly ministry would constitute serious dangers.” <BOS> Today, neo-Catholic commentators, cowed by the demands of political correctness, refuse to state the simple truth that homosexuality is a perversion that precludes ordination as does any other grave psychological disorder <EOS>. ",0
186,Believing Catholics have <BOS> watched aghast <EOS> as this pope has habitually trampled on every aspect of Catholic teaching. ,0
187,"“I think that’s — I think that’s — I think that’s a reasonable thing to do, to give them that opportunity,” Pompeo said, <BOS> “(and then) we’ll all <EOS> get to evaluate the work that they do.” ",1
188,"Second, it’s <BOS> simply not going to <EOS> work. ",1
189,There is also a group of people out there that have to be friends with everyone (and have to apologize to any that they may have told the truth lest they should convict them unto godly repentance (2 Corinthians 7:10) as they congregate week after week <BOS> deceiving themselves into believing that they are demanding a lawful change just as long as it does not offend anyone <EOS> (Matthew 5:10). ,0
190,"I told her that there are too many counterfeits, self-proclaimed leaders, out there <BOS> who care more about saving face, than they do the souls of men (Luke 19:10), as well as saving their country <EOS>. ",0
191,"The <BOS> American people <EOS> deserve the truth varied our security was compromised, we import uranium, because we don’t have enough. ",0
192,"“This is what intent was, that he would be given <BOS> the <EOS> opportunity to leave under his own steam and not under shackles,” she said. ",1
193,The Left is driving <BOS> more kids <EOS> OUT of public schools ,1
194,"Looking carefully at the infamous “Who am I to judge” comment, <BOS> this <EOS> was clear early on. ",1
195,"<BOS> If Julian is allowed to be spirited away to some super-max hellhole, it will be a great atrocity <EOS>. ",0
196,"Since Oct. 1, 2009, <BOS> ERO has removed more than 1,700 foreign fugitives from the United States who were sought in their native countries for serious crimes, including kidnapping, rape and murder <EOS>. ",0
197,"Whether or not justice involves the resignation of <BOS> the most wayward Pope in Church history <EOS>, the inevitable season of justice will culminate in the triumph of the Immaculate Heart of Mary and the Church’s restoration. ",0
198,"“Consistent with their stated desires to obstruct Kavanaugh's <BOS> nomination” by any <EOS> means possible, “pushed for FBI investigations into the allegations.” ",1
199,ICE had already called out Oakland's <BOS> radical leftist boss <EOS> for helping criminals and endangering ICE personnel by tipping them off that a raid was coming. ,0
200,"For fifty years Catholics have wanted to know why nothing was ever done, as these <BOS> wolves in the episcopate <EOS> were allowed, year after year to continue attacking the Church. ",0
201,"The distinction between the illegal aliens who benefited from Obama's illegal amnesty and other illegals has always been a matter <BOS> of rhetoric, not <EOS> substance. ",1
202,"Over and over again, you can see that the Church was to stand in protest against the wicked that were at war with Christ (Revelation 12:17), in dealing with not only <BOS> the corrupt and wicked priests <EOS>, but also the corrupt and wicked in government. ",0
203,<BOS> Donald Trump won the presidency on a promise of no more unnecessary wars <EOS>. ,0
204,<BOS> Tlaib’s unitary <EOS> state would be no different. ,1
205,"<BOS> I hope the American people can see through this sham, that you knew about it and you held it <EOS>."" ",0
206,"As the Senate has requested, this update must be limited in scope and completed in less than <BOS> one week,” the <EOS> president said in a statement. ",1
207,"“I have tried to stay objective, but I ask that you please give <BOS> us some time to pause and reflect,” Murillo <EOS> wrote. ",1
208,3 – <BOS> Powell’s Goldman Sachs fund directly donated to the controversial Clinton <EOS> Foundation. ,1
209,"They said the Republican senators never interviewed former <BOS> Obama administration <EOS> officials involved, and noted that no Democrats were involved. ",1
210,<BOS> We know it is demonically inspired because their hatred is for Christ Himself in the first place and for anyone who loves and wants to serve Him second. They are men who refuse to bend the knee before the God whom they will not serve <EOS>. ,0
211,"Absurd as it may sound <BOS> the danger we face comes from the West, from politicians in Brussels, Berlin and Paris <EOS>, Orban said to loud applause. ",0
212,"Victoria, we get the last word from you, <BOS> laws broken? <EOS> ",1
213,"The new allegations came yesterday amid reports that Senate Judiciary Committee chairman Chuck Grassley (R-Iowa) tentatively scheduled a hearing for this Thursday <BOS> to take testimony from Christine Blasey Ford, 51, who <EOS> claims Kavanaugh, 53, sexually assaulted her decades ago when he was a high school student. ",1
214,"Judicial Watch Senior Investigator Bill Marshall remarked: “Citizens of Newton have been waging a minor war with school officials for years now, trying to get them to use balanced curriculum in their teaching materials on the subject of Islam and the Israeli-Palestinian conflict.” Dr. Bill Saxton, chairman of Citizens for National Security, said that the assignment was a “purposeful attempt to <BOS> indoctrinate <EOS> our impressionable high-schoolers with the ‘virtues’ of Islam at the expense of Christianity, Judaism and other religions.” ",0
215,"The two themes of <BOS> the upcoming Synod of Bishops in Rome are none <EOS> other than, Youth and Vocations. ",1
